Country_ID,Country,Item,Element,Unit,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
247,European Union (27),Crop Residues,Direct emissions (N2O),kilotonnes,46.2 ,47.2 ,47.1 ,41.0 ,52.3 ,46.5 ,44.0 ,42.9 ,50.9 ,48.1 ,45.3 ,46.7 ,45.6 ,49.3 ,52.1 ,50.8 ,48.3 ,49.7 ,47.0 ,51.3 ,48.8 
247,European Union (27),Crop Residues,Direct emissions (N2O),kilotonnes,64.0 ,66.6 ,65.7 ,58.5 ,69.8 ,65.7 ,61.9 ,61.0 ,67.1 ,66.2 ,63.4 ,65.2 ,63.2 ,67.5 ,73.7 ,68.1 ,67.5 ,71.9 ,67.7 ,70.9 ,69.1 
247,European Union (27),Crop Residues,Indirect emissions (N2O),kilotonnes,10.4 ,10.6 ,10.6 ,9.2 ,11.8 ,10.5 ,9.9 ,9.7 ,11.4 ,10.8 ,10.2 ,10.5 ,10.3 ,11.1 ,11.7 ,11.4 ,10.9 ,11.2 ,10.6 ,11.5 ,11.0 
247,European Union (27),Crop Residues,Emissions (N2O),kilotonnes,56.6 ,57.8 ,57.7 ,50.2 ,64.1 ,57.0 ,53.9 ,52.6 ,62.3 ,58.9 ,55.5 ,57.2 ,55.9 ,60.4 ,63.9 ,62.2 ,59.2 ,60.8 ,57.6 ,62.8 ,59.7 
247,European Union (27),Crop Residues,Emissions (N2O),kilotonnes,64.0 ,66.6 ,65.7 ,58.5 ,69.8 ,65.7 ,61.9 ,61.0 ,67.1 ,66.2 ,63.4 ,65.2 ,63.2 ,67.5 ,73.7 ,68.1 ,67.5 ,71.9 ,67.7 ,70.9 ,69.1 
247,European Union (27),Crop Residues,Emissions (CO2eq) from N2O (AR5),kilotonnes,14991.9 ,15311.1 ,15282.0 ,13297.8 ,16993.9 ,15104.2 ,14288.5 ,13933.3 ,16516.4 ,15604.6 ,14704.3 ,15152.3 ,14800.7 ,16001.5 ,16923.8 ,16479.1 ,15674.9 ,16123.1 ,15261.0 ,16646.1 ,15830.8 
247,European Union (27),Crop Residues,Emissions (CO2eq) from N2O (AR5),kilotonnes,16958.8 ,17654.3 ,17412.3 ,15494.6 ,18491.2 ,17408.0 ,16416.6 ,16177.3 ,17784.9 ,17533.4 ,16811.6 ,17286.9 ,16752.5 ,17880.7 ,19543.0 ,18049.4 ,17890.3 ,19064.8 ,17940.5 ,18801.1 ,18321.6 
247,European Union (27),Crop Residues,Emissions (CO2eq) (AR5),kilotonnes,14991.9 ,15311.1 ,15282.0 ,13297.8 ,16993.9 ,15104.2 ,14288.5 ,13933.3 ,16516.4 ,15604.6 ,14704.3 ,15152.3 ,14800.7 ,16001.5 ,16923.8 ,16479.1 ,15674.9 ,16123.1 ,15261.0 ,16646.1 ,15830.8 
247,European Union (27),Crop Residues,Emissions (CO2eq) (AR5),kilotonnes,16958.8 ,17654.3 ,17412.3 ,15494.6 ,18491.2 ,17408.0 ,16416.6 ,16177.3 ,17784.9 ,17533.4 ,16811.6 ,17286.9 ,16752.5 ,17880.7 ,19543.0 ,18049.4 ,17890.3 ,19064.8 ,17940.5 ,18801.1 ,18321.6 
247,European Union (27),Rice Cultivation,Emissions (CH4),kilotonnes,204.4 ,202.9 ,202.6 ,206.0 ,215.8 ,207.7 ,204.4 ,210.2 ,202.8 ,227.7 ,235.6 ,236.6 ,224.5 ,211.9 ,210.2 ,214.5 ,219.2 ,217.3 ,205.4 ,206.3 ,210.7 
247,European Union (27),Rice Cultivation,Emissions (CH4),kilotonnes,99.2 ,99.2 ,100.9 ,104.2 ,109.3 ,105.6 ,103.5 ,106.1 ,99.8 ,111.9 ,113.4 ,113.6 ,110.1 ,104.2 ,101.2 ,104.3 ,107.5 ,102.9 ,99.6 ,98.7 ,97.6 
247,European Union (27),Rice Cultivation,Emissions (CO2eq) from CH4 (AR5),kilotonnes,5724.1 ,5680.7 ,5673.8 ,5768.9 ,6043.2 ,5814.7 ,5722.5 ,5886.9 ,5678.3 ,6374.8 ,6597.9 ,6626.2 ,6285.8 ,5932.4 ,5885.7 ,6005.7 ,6137.8 ,6084.1 ,5750.7 ,5776.8 ,5899.9 
247,European Union (27),Rice Cultivation,Emissions (CO2eq) from CH4 (AR5),kilotonnes,2777.6 ,2776.3 ,2825.0 ,2917.9 ,3059.3 ,2957.1 ,2899.0 ,2971.2 ,2795.2 ,3133.8 ,3175.8 ,3180.2 ,3082.0 ,2916.4 ,2833.0 ,2920.9 ,3011.2 ,2881.7 ,2787.9 ,2763.9 ,2733.9 
247,European Union (27),Rice Cultivation,Emissions (CO2eq) (AR5),kilotonnes,5724.1 ,5680.7 ,5673.8 ,5768.9 ,6043.2 ,5814.7 ,5722.5 ,5886.9 ,5678.3 ,6374.8 ,6597.9 ,6626.2 ,6285.8 ,5932.4 ,5885.7 ,6005.7 ,6137.8 ,6084.1 ,5750.7 ,5776.8 ,5899.9 
247,European Union (27),Rice Cultivation,Emissions (CO2eq) (AR5),kilotonnes,2777.6 ,2776.3 ,2825.0 ,2917.9 ,3059.3 ,2957.1 ,2899.0 ,2971.2 ,2795.2 ,3133.8 ,3175.8 ,3180.2 ,3082.0 ,2916.4 ,2833.0 ,2920.9 ,3011.2 ,2881.7 ,2787.9 ,2763.9 ,2733.9 
247,European Union (27),Burning - Crop residues,Emissions (CH4),kilotonnes,52.7 ,54.2 ,53.6 ,52.3 ,55.4 ,52.5 ,49.8 ,48.3 ,52.2 ,50.3 ,49.3 ,51.8 ,53.2 ,53.3 ,53.3 ,52.5 ,50.9 ,49.1 ,48.6 ,50.8 ,50.6 
247,European Union (27),Burning - Crop residues,Emissions (CH4),kilotonnes,57.7 ,36.9 ,41.5 ,44.0 ,30.8 ,29.4 ,29.0 ,46.6 ,27.6 ,29.4 ,24.1 ,24.6 ,37.7 ,24.6 ,24.0 ,26.9 ,24.2 ,19.5 ,18.1 ,20.3 ,28.0 
247,European Union (27),Burning - Crop residues,Emissions (N2O),kilotonnes,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.3 ,1.3 ,1.4 ,1.3 ,1.3 ,1.3 ,1.4 ,1.4 ,1.4 ,1.4 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 
247,European Union (27),Burning - Crop residues,Emissions (N2O),kilotonnes,1.7 ,1.1 ,1.3 ,1.3 ,0.9 ,0.9 ,0.9 ,1.4 ,0.8 ,0.9 ,0.7 ,0.8 ,1.2 ,0.8 ,0.7 ,0.8 ,0.7 ,0.6 ,0.6 ,0.6 ,0.9 
247,European Union (27),Burning - Crop residues,Emissions (CO2eq) from CH4 (AR5),kilotonnes,1476.8 ,1517.5 ,1500.2 ,1463.1 ,1552.5 ,1468.8 ,1394.2 ,1351.7 ,1460.6 ,1409.2 ,1380.0 ,1450.1 ,1489.0 ,1492.0 ,1492.1 ,1468.9 ,1425.0 ,1374.7 ,1359.5 ,1423.3 ,1416.8 
247,European Union (27),Burning - Crop residues,Emissions (CO2eq) from CH4 (AR5),kilotonnes,1616.9 ,1034.1 ,1161.0 ,1231.0 ,863.0 ,822.0 ,810.8 ,1306.0 ,774.2 ,824.3 ,675.8 ,688.9 ,1056.4 ,687.6 ,670.6 ,753.6 ,677.9 ,545.3 ,506.2 ,568.0 ,784.9 
247,European Union (27),Burning - Crop residues,Emissions (CO2eq) from N2O (AR5),kilotonnes,362.4 ,372.3 ,368.1 ,359.0 ,380.9 ,360.4 ,342.1 ,331.7 ,358.4 ,345.8 ,338.6 ,355.8 ,365.3 ,366.1 ,366.1 ,360.4 ,349.7 ,337.3 ,333.6 ,349.2 ,347.6 
247,European Union (27),Burning - Crop residues,Emissions (CO2eq) from N2O (AR5),kilotonnes,458.0 ,296.4 ,332.2 ,355.4 ,248.6 ,237.4 ,235.5 ,378.3 ,223.9 ,238.5 ,195.7 ,199.1 ,305.7 ,199.2 ,194.0 ,218.3 ,197.2 ,157.5 ,147.8 ,164.8 ,228.8 
247,European Union (27),Burning - Crop residues,Emissions (CO2eq) (AR5),kilotonnes,1839.1 ,1889.8 ,1868.2 ,1822.1 ,1933.5 ,1829.2 ,1736.3 ,1683.4 ,1819.0 ,1755.0 ,1718.7 ,1805.9 ,1854.3 ,1858.0 ,1858.2 ,1829.3 ,1774.7 ,1712.0 ,1693.1 ,1772.5 ,1764.4 
247,European Union (27),Burning - Crop residues,Emissions (CO2eq) (AR5),kilotonnes,2074.9 ,1330.5 ,1493.2 ,1586.4 ,1111.6 ,1059.4 ,1046.3 ,1684.3 ,998.1 ,1062.8 ,871.5 ,888.0 ,1362.1 ,886.8 ,864.6 ,972.0 ,875.1 ,702.8 ,654.0 ,732.8 ,1013.7 
247,European Union (27),Enteric Fermentation,Emissions (CH4),kilotonnes,7497.5 ,7326.9 ,7221.7 ,7082.8 ,6998.4 ,6914.0 ,6853.1 ,6879.1 ,6865.9 ,6795.1 ,6709.4 ,6547.8 ,6537.9 ,6545.7 ,6600.7 ,6649.1 ,6658.8 ,6616.9 ,6482.2 ,6422.8 ,6376.0 
247,European Union (27),Enteric Fermentation,Emissions (CH4),kilotonnes,7141.4 ,7095.5 ,6957.6 ,6897.1 ,6784.2 ,6770.6 ,6730.2 ,6765.5 ,6731.8 ,6668.9 ,6595.3 ,6515.0 ,6515.8 ,6544.6 ,6592.5 ,6655.3 ,6681.9 ,6689.7 ,6656.2 ,6592.6 ,6579.5 
